Date,P_regime_0,P_regime_1,P_regime_2,P_regime_3,P_regime_4
2014-12-12,2.5768721325815606e-09,1.7256480207612728e-107,6.435009253784496e-10,1.4740283396760692e-08,0.9999999820393436
2014-12-15,6.8874653259860595e-12,1.863944252136103e-97,1.839199611461726e-09,3.0840006372581143e-09,0.9999999950699122
2014-12-16,5.83354308058867e-14,2.1034639744755208e-93,2.489155985698487e-10,8.124823075462102e-11,0.9999999996697777
2014-12-17,1.9420109313370598e-08,1.7614008244452164e-87,0.003026160934237137,5.03291321425717e-06,0.9969687867324393
2014-12-18,4.3545327205502533e-07,3.828854085253143e-86,0.9981571777073412,6.603033001228821e-05,0.001776356509374516
2014-12-19,3.2279327022540246e-06,9.35659530204725e-93,0.9988863033276126,0.0006412413705486158,0.0004692273691366449
2014-12-22,5.463050788319254e-06,3.491674042637919e-96,0.9995987707042228,0.00039390066272481446,1.8655822641183227e-06
2014-12-23,9.009300392911371e-06,2.8756468364933417e-99,0.9994719906413942,0.0005189824162424901,1.7641970242813847e-08
2014-12-24,0.00013697943856300995,1.2685549445486202e-100,0.995591281034324,0.004263711898519672,8.027628593349437e-06
2014-12-26,0.0014154816643898035,8.153854516150986e-101,0.9815127507158647,0.016866317503580572,0.00020545011616495074
2014-12-29,0.00035984064850881105,4.083184606858759e-99,0.9710148028618683,0.01811817122760729,0.010507185262015632
2014-12-30,0.0008251835143682924,4.158926218810495e-100,0.7561711493627138,0.08919977456225943,0.15380389256065846
2014-12-31,5.122079984122987e-06,7.197205727804668e-100,0.0028609650680623258,0.0007068440026676061,0.996427068849286
2015-01-02,5.830791137953893e-07,3.8627608379412404e-103,3.5964802905704016e-05,2.487804221145938e-05,0.999938574075769
2015-01-05,2.584245330118304e-08,2.801179883454045e-95,4.454487215465387e-05,5.557059624754618e-07,0.9999548735794296
2015-01-06,5.629743972132634e-10,1.8802724277238207e-93,6.024862556047357e-06,2.895396311385424e-08,0.9999939456205065
2015-01-07,2.141774538793243e-05,1.5105142063654625e-95,0.15651167867128946,0.00022289581232016198,0.8432440077710025
2015-01-08,4.6364911704519536e-05,2.037538668181572e-95,0.9804839340581,0.00019821816024336738,0.01927148286995212
2015-01-09,0.000107088774606399,5.360548942911719e-97,0.9895114044923468,0.00022278787726346682,0.010158718855783375
