SPX_S_True_test,SPX_S_11_pred
0.000313505544474,0.00028279473
0.0003126729155965,0.00027378002
0.0003105693626491,0.00026770102
0.0003103303243358,0.000264876
0.0001413963394855,0.00026476794
0.0001383686040844,0.00022813946
0.0001388707431558,0.00019579443
0.0001292172760688,0.00017018827
0.0001285819293793,0.00014823166
0.0001284361096723,0.00013517494
0.000125762238145,0.00012368038
0.0001339394337206,0.00011638129
0.000136329235844,0.00012290104
0.00010260065335890001,0.00012131064
0.0001017142167138,0.00011098948
7.874056950223763e-05,0.00010476162
7.1485535145147e-05,9.802535e-05
6.320657880506585e-05,8.618075e-05
6.340371037132348e-05,7.640814e-05
6.279974848205859e-05,6.9181646e-05
5.351470672104515e-05,6.263944e-05
4.822621451836228e-05,5.6948134e-05
4.537798563193065e-05,5.184401e-05
4.44524847990845e-05,4.7151178e-05
4.383579506999405e-05,4.3934786e-05
4.549937765914427e-05,4.4067066e-05
4.144862686121096e-05,4.784007e-05
3.983132458323815e-05,4.394399e-05
3.842974525105196e-05,4.0755513e-05
3.8339056661903536e-05,3.8568018e-05
3.81722250314858e-05,3.711998e-05
3.825567235742601e-05,3.686812e-05
3.793873230451297e-05,3.5999576e-05
3.1364020346669804e-05,3.542512e-05
2.88732954346614e-05,3.569627e-05
3.006385325034421e-05,3.4007004e-05
2.699884663586831e-05,3.4700864e-05
2.40444115731186e-05,3.2886855e-05
2.3535503954667003e-05,3.2051088e-05
2.3060821618774795e-05,3.117161e-05
2.8062616283083085e-05,3.088546e-05
9.279968531364203e-05,3.6302372e-05
9.604670289434637e-05,0.00014059614
0.0001308886678099,0.000120257966
0.0001476613203196,0.00018002516
0.0001615049444854,0.00018240386
0.0001569001055304,0.00019036316
0.0001588684506199,0.00016726842
0.0001590165193032,0.00016324909
0.0001598461529437,0.00015261711
0.0001628287740454,0.00014758047
0.0001676443014028,0.0001493604
0.0001708281521719,0.00015611328
0.0001766587941038,0.0001617782
0.00019813771486769998,0.00016060681
0.0001970725058979,0.00020618454
0.0002114771154488,0.0001896869
0.00022350966557429998,0.00019693864
0.0002237044767423,0.00020505348
0.000227865139605,0.00019878011
0.0002285658433034,0.0001962481
0.00023020627640620004,0.00019263852
0.0002425185151511,0.00019809052
0.00018520921620160003,0.0002139109
0.0001947977560874,0.00020990791
0.0001612630642968,0.00020875504
0.0001470351740458,0.00018631696
0.0001417280299674,0.00016769639
0.0001450775983421,0.00016422401
0.0001407754220112,0.00015237089
0.0001400241397013,0.00014376307
0.0001390388396731,0.00013403241
0.0001498126666748,0.00012675456
0.0001454209700623,0.00014442547
0.0001413811207176,0.00013626741
0.0001359725108788,0.0001303881
0.0001143540484815,0.00012495069
0.0001327897435354,0.00011526453
0.0001192088780978,0.00013646667
0.0001601186628739,0.0001253334
