RTY_LSTM_True_test,RTY_LSTM_22_pred
3.867699650254179e-05,6.5692024e-05
2.505970002343577e-05,6.547942e-05
2.5790512016694758e-05,6.418218e-05
2.507435509439469e-05,6.322223e-05
2.2909052586062028e-05,6.2393185e-05
1.8083661419051496e-05,6.1555176e-05
1.7270391128636453e-05,6.0492643e-05
1.6269558225548986e-05,5.9581744e-05
1.6421692964656578e-05,5.8763697e-05
1.1181193626615518e-05,5.81254e-05
1.178055546834404e-05,5.718344e-05
1.3495796219099644e-05,5.6488545e-05
1.3742661700411268e-05,5.608034e-05
1.2236946151235492e-05,5.5775938e-05
1.7088337461957107e-05,5.5410914e-05
1.665031250935765e-05,5.5538007e-05
1.991150615650777e-05,5.5603203e-05
1.9988022781210243e-05,5.5939876e-05
1.993044852787156e-05,5.6219473e-05
2.7996452525491147e-05,5.6447265e-05
3.2612593912938725e-05,5.731959e-05
3.639034005259304e-05,5.8402893e-05
3.707876050569835e-05,5.9587743e-05
3.517988089152417e-05,6.0595747e-05
5.181817721855432e-05,6.122993e-05
5.843538013015352e-05,6.3167354e-05
6.873465656897858e-05,6.527142e-05
7.713550460084994e-05,6.787196e-05
7.755382071424176e-05,7.07643e-05
8.369272912777797e-05,7.315228e-05
8.542591679246612e-05,7.5757474e-05
8.682398362671124e-05,7.808333e-05
8.733512939254232e-05,8.0153106e-05
8.578603584634835e-05,8.191795e-05
8.622246389965047e-05,8.317846e-05
8.610116932033825e-05,8.425786e-05
8.141559200621025e-05,8.510448e-05
8.065448118727287e-05,8.518954e-05
8.174925607143338e-05,8.513595e-05
0.00011988495525469999,8.519042e-05
0.0001663547648834,9.084545e-05
0.000162064323216,0.00010411612
0.0002032430494893,0.00011516438
0.0002032545920279,0.00013306433
0.0002483322326036,0.00014893807
0.0002612628596996,0.00017244914
0.0002913120039819,0.00019601508
0.0003263496877149,0.00022271746
0.00032491799535,0.00025278213
0.000660490832708,0.0002772692
0.0007255721832261,0.00036207397
0.0008509994383177,0.0004481532
0.0013091071905261,0.00054382277
0.001668585310239,0.0007014453
0.002450184089477,0.0008954245
0.0027694391482679,0.0011927693
0.0031041299105615,0.0015059075
0.0034482934853183006,0.0018383221
0.0034650004789093,0.0021901485
0.0034719195258052,0.0024895195
0.0040084071328134,0.002738137
0.0040108428812329,0.0030640461
0.0042140795286127,0.0033293748
0.0042445051339094,0.0035867237
0.0042533303404198,0.0037908307
0.0042515913989131,0.0039377837
0.0043537477885861,0.0040320675
0.0043741217188291,0.004117325
0.0043362799798474,0.004179459
0.0046716488892703,0.0042011174
0.004668354250889,0.0043045767
0.004434486043794,0.004393607
0.0044773103347283,0.004379134
0.0043763667747803,0.004347357
0.003928364170499,0.0042740284
0.0036519686637356,0.004053666
0.0028738994368068,0.0037558607
0.0026187755594861,0.0032604379
0.0023055544552748,0.0027767515
