SPX_ST_True_test,SPX_ST_11_pred
0.00010260065335890001,0.0001260196
0.0001017142167138,0.000113364644
7.874056950223763e-05,0.000109603076
7.1485535145147e-05,0.00010064289
6.320657880506585e-05,9.035608e-05
6.340371037132348e-05,7.926093e-05
6.279974848205859e-05,7.1031835e-05
5.351470672104515e-05,6.3692314e-05
4.822621451836228e-05,5.739943e-05
4.537798563193065e-05,5.1790856e-05
4.44524847990845e-05,4.6334677e-05
4.383579506999405e-05,4.2488373e-05
4.549937765914427e-05,4.4779663e-05
4.144862686121096e-05,4.7150523e-05
3.983132458323815e-05,4.3767388e-05
3.842974525105196e-05,3.9795304e-05
3.8339056661903536e-05,3.6959686e-05
3.81722250314858e-05,3.513294e-05
3.825567235742601e-05,3.6094563e-05
3.793873230451297e-05,3.4539542e-05
3.1364020346669804e-05,3.3500608e-05
2.88732954346614e-05,3.3734945e-05
3.006385325034421e-05,3.194646e-05
2.699884663586831e-05,3.2602802e-05
2.40444115731186e-05,3.0695468e-05
2.3535503954667003e-05,2.9932107e-05
2.3060821618774795e-05,2.9511022e-05
2.8062616283083085e-05,2.9137313e-05
9.279968531364203e-05,3.3784305e-05
9.604670289434637e-05,0.00015180351
0.0001308886678099,0.00012950439
0.0001476613203196,0.00020972613
0.0001615049444854,0.00019622355
0.0001569001055304,0.0002116754
0.0001588684506199,0.00016959096
0.0001590165193032,0.00016277464
0.0001598461529437,0.00014963839
0.0001628287740454,0.00014656775
0.0001676443014028,0.00015179804
0.0001708281521719,0.00016275264
0.0001766587941038,0.00017213778
0.00019813771486769998,0.00016591744
0.0001970725058979,0.00022306923
0.0002114771154488,0.00019273818
0.00022350966557429998,0.00019808162
0.0002237044767423,0.00020491681
0.000227865139605,0.00019969861
0.0002285658433034,0.00019616181
0.00023020627640620004,0.00019173296
0.0002425185151511,0.00020126048
0.00018520921620160003,0.00021524786
0.0001947977560874,0.00021893578
0.0001612630642968,0.00021450984
0.0001470351740458,0.00018961483
0.0001417280299674,0.00017025208
0.0001450775983421,0.00016627042
0.0001407754220112,0.00015632961
0.0001400241397013,0.00014878534
0.0001390388396731,0.00013664256
0.0001498126666748,0.00012709502
0.0001454209700623,0.00014982664
0.0001413811207176,0.00013751774
0.0001359725108788,0.00013102255
0.0001143540484815,0.00012449053
0.0001327897435354,0.000114454895
0.0001192088780978,0.00014081753
0.0001601186628739,0.00012827224
0.0001665443411404,0.00024274645
0.0001673005467982,0.00020857986
0.0001730847138274,0.00020577991
0.0001843907175923,0.00018940741
0.0001868173815473,0.00019345182
0.00019292972529409998,0.00020601507
0.0001793358098859,0.00021079455
0.00018226298408830004,0.00018895337
